ORDER_ID,CUSTOMER_ID,PRODUCT_ID
1000001,9,994
1000002,6,1002
1000003,16,995
1000006,8,993
1000007,7,997
1000008,5,1002
1000009,10,1001
1000010,5,998
1000012,11,994
1000013,14,1002
1000014,18,999
1000015,7,1001
1000016,9,995
1000017,11,993
1000018,2,999
1000019,4,995
1000020,16,999
1000021,9,999
1000022,20,996
1000023,15,999
1000024,11,993
1000025,12,998
1000026,3,1000
1000027,2,997
1000028,20,999
1000029,1,997
1000030,3,1001
1000031,10,1001
1000032,9,1001
1000033,8,999
1000034,13,998
1000035,7,996
1000036,8,1001
1000037,15,1002
1000038,7,999
1000040,19,995
1000041,10,997
1000042,13,996
1000044,16,996
1000045,15,999
1000047,9,998
1000048,13,1000
1000050,17,1001
1000051,10,999
1000052,2,996
1000053,7,993
1000054,16,993
1000055,15,998
1000056,13,998
1000057,19,995
1000058,2,1000
1000059,6,994
1000060,12,996
1000061,16,993
1000062,18,996
1000063,12,999
1000064,20,994
1000065,5,998
1000066,11,995
1000067,12,997
1000068,3,999
1000069,7,993
1000070,16,995
1000071,20,993
1000072,13,996
1000073,1,995
1000074,13,998
1000075,7,998
1000076,14,997
1000077,15,994
1000079,8,1001
1000080,15,995
1000081,17,997
1000082,18,996
1000084,1,995
1000085,2,1001
1000086,5,997
1000087,1,997
1000088,17,1002
1000089,3,995
1000090,2,997
1000091,16,998
1000092,19,999
1000093,9,999
1000094,5,995
1000096,15,997
1000098,2,994
1000100,10,998
